apple	4.97
table	4.90
dog	4.85
cat	4.87
car	4.92
tree	4.88
house	4.84
water	4.66
book	4.78
chair	4.86
hand	4.80
door	4.82
window	4.79
road	4.74
river	4.81
mountain	4.83
flower	4.89
bread	4.85
knife	4.88
clock	4.84
shoe	4.91
hammer	4.90
bottle	4.93
phone	4.76
camera	4.82
guitar	4.89
bridge	4.79
train	4.80
ocean	4.77
forest	4.78
sand	4.72
stone	4.83
glass	4.70
metal	4.55
coffee	4.74
pencil	4.92
ladder	4.88
basket	4.86
candle	4.87
mirror	4.81
justice	1.55
freedom	1.72
idea	1.61
theory	1.52
truth	1.79
belief	1.68
concept	1.49
hope	1.70
wisdom	1.57
honesty	1.58
democracy	1.83
courage	1.66
faith	1.62
logic	1.74
morality	1.50
opinion	1.71
knowledge	1.63
fairness	1.54
loyalty	1.60
patience	1.69
ambition	1.65
doubt	1.73
virtue	1.48
sorrow	1.85
pride	1.78
